That is me, Das bin Ich, "Lesson 1, Phrase"
Good day, Guten Tag, "Lesson 1, Phrase"
I come from...., Ich komme aus..., "Lesson 1, Phrase"
I speak...., Ich spreche, "Lesson 1, Phrase"
Goodbye, Auf Wiedersehn, "Lesson 1, Phrase"
Good night, Gute Nacht, "Lesson 1, Phrase"
My name is..., Mein name ist, "Lesson 1, Phrase"
Good Morning, Guten Morgen, "Lesson 1, Phrases"
Good evening, Guten Abend, "Lesson 1, Phrases"
Goodbye (informal), Tschuss, "Lesson 1, Words"
Welcome, Wilkommen, "Lesson 1, Words"
See you later, Bis später, "Lesson 1, Phrases"
Who is that, Wer ist das, "Lesson 1, Phrases, Questions"
I don't know, Ich weiss nicht, "Lesson 1, phrases"
Don't know, Keine Ahnung, "Lesson 1, Phrases"
I am, Ich bin, "Lesson 1, To be, Phrases"
You are, Du bist, "Lesson 1, To be, Phrases"
They are (formal), Sie sind, "Lesson 1, To be Phrases"
Hear, Hören, "Lesson 1, Words"
What is your name (formal), Wie heißen Sie, "Lesson1, Phrases, Questions"
Where do you come from (formal), Woher kommen Sie, "Lesson 1, Phrases, Questions"
And who are you (informal), Und wer bist du, "Lesson 1, Phrases, Questions"
Beautiful,Schön, "Lesson 1, Words"
Write down, "Buchstabieren", "Lesson 1, Words"
Kitchen, Küchen, "Lesson 1, Words"
Cake, Kuchen, "Lesson 1, Words"
Banana, ein Banane, "Lesson 1, Words, Gender"


